codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao,capacidadePeVeiculo,capacidadeSentadoVeiculo,datetime_registro
901008,,22,-23.000057,-43.360687,1761602539000,42.4,8970,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],214643.8,91,1,0,0,2025-10-27 19:02:35.131661-03:00
901011,RIV8A74,52,-22.856756,-43.390114,1761602532000,61.0,9161,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],228953.8,229,1,0,0,2025-10-27 19:02:35.131661-03:00
901018,,22,-23.00645,-43.313152,1761602535000,12.3,8971,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],189892.5,273,1,0,0,2025-10-27 19:02:35.131661-03:00
901012,,22,-23.004359,-43.321729,1761602539000,49.2,8970,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],184504.5,120,1,0,0,2025-10-27 19:02:35.131661-03:00
901014,,52,-22.947892,-43.391581,1761602549000,27.7,9162,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],228033.8,303,1,0,0,2025-10-27 19:02:35.131661-03:00
901007,,0,-22.75162,-43.286805,1761509032000,0.0,,,,211230.6, ,0,0,0,2025-10-27 19:02:35.131661-03:00
901009,,22,-23.000165,-43.355321,1761602547000,16.6,8970,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],182432.9,91,1,0,0,2025-10-27 19:02:35.131661-03:00
901013,,51,-23.008695,-43.440628,1761602531000,0.0,3551,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],218210.2, ,1,0,0,2025-10-27 19:02:35.131661-03:00
901010,RJM8G30,50,-23.000774,-43.333595,1761602547000,39.0,3310,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],229786.5,94,1,0,0,2025-10-27 19:02:35.131661-03:00
901015,,35,-22.882426,-43.341846,1761602524000,0.0,109,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],232173.2,25,1,0,0,2025-10-27 19:02:35.131661-03:00
